场景,产量/t,吨氨成本/元_离散,购电/MWh_离散,上网/MWh_离散,自发自用占比_离散,绿电比例_离散,上网比例_离散,判定_离散,开机小时数,开机小时,吨氨成本/元_连续,购电/MWh_连续,上网/MWh_连续,自发自用占比_连续,绿电比例_连续,上网比例_连续,判定_连续,平均负荷率,最小负荷率,最大负荷率,吨氨成本差_离散减连续
W4P2,63,6663.508749206349,353.7584,39.90240000000001,0.8709420341417029,0.6205204779987556,0.06452898292914853,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",6499.805925396826,323.7442,9.888200000000008,0.9680181899334374,0.6527169552251615,0.01599090503328138,全满足,0.875,0.17,1.0,163.70282380952358
W4P2,54,6215.19172962963,267.272,77.916,0.7479930914477558,0.6691031545585104,0.12600345427612214,全满足,18,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,23",5921.5111518518515,203.5984,14.242400000000004,0.9539352226196869,0.7479344327242115,0.02303238869015661,全满足,0.75,0.1,1.0,293.6805777777781
W4P2,45,5846.849475555555,227.14600000000002,162.29000000000002,0.47509880911566627,0.6675360791545916,0.26245059544216676,部分满足,15,"0,1,2,3,4,5,6,8,9,12,13,14,15,16,23",5726.756715555555,203.5984,138.74240000000003,0.5512597757954861,0.7020016978425689,0.22437011210225696,部分满足,0.625,0.1,1.0,120.09275999999954
W4P2,36,5431.028286111111,203.0342,262.6782,0.15040914412870093,0.6366083190148912,0.42479542793564956,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23",5434.625061111111,203.5984,263.2424,0.14858432897128565,0.6355985108820161,0.4257078355143572,部分满足,0.5,0.1,1.0,-3.5967749999999796
W4P3,72,8601.143991666666,604.116,0.0,0.9999999999999994,0.42831024301612547,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",8601.143991666666,604.116,0.0,0.9999999999999994,0.42831024301612547,0.0,全满足,1.0,1.0,1.0,0.0
W4P3,63,8186.526466666667,506.416,26.799999999999997,0.8815741796360616,0.45676342494261013,0.05921291018196922,全满足,21,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,21,22,23",8005.945514285714,479.616,0.0,1.0,0.48551200360429947,0.0,全满足,0.875,0.17,1.0,180.58095238095302
W4P3,54,7818.220805555555,414.7718,59.6558,0.7363885427437672,0.4864906155598475,0.1318057286281164,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,22,23",7360.484933333333,355.27799999999996,0.16199999999999548,0.9992841424291434,0.5601470806715199,0.00035792878542831145,全满足,0.75,0.17,1.0,457.7358722222216
W4P3,45,7446.473739999999,338.8422,108.2262,0.521762070154042,0.5040511109159568,0.23911896492297902,部分满足,15,"0,1,2,3,4,5,6,7,8,9,14,15,16,17,23",6818.575253333333,230.77800000000002,0.16199999999999548,0.9992841424291433,0.6622200755247213,0.00035792878542831145,全满足,0.625,0.1,1.0,627.898486666666
W4P3,36,7061.909783333333,272.58639999999997,166.47039999999998,0.2643882952868292,0.5121234249713632,0.36780585235658536,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23",6622.111283333334,203.5984,97.48240000000003,0.5692375674982987,0.635598510882016,0.21538121625085066,部分满足,0.5,0.1,1.0,439.79849999999897
W4P4,72,9149.65421388889,668.7560000000001,0.0,0.9999999999999992,0.36713982890453484,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9149.65421388889,668.7560000000001,0.0,0.9999999999999992,0.36713982890453484,0.0,全满足,1.0,1.0,1.0,0.0
